1023;43;43;43;43;43
1023;44;43;43;43;43
1074;45;43;43;43;43
1125;47;43;43;43;43
1176;49;43;43;43;43
1227;51;43;43;43;43
1278;54;43;43;43;43
1329;57;44;43;43;43
1380;61;48;43;43;43
1432;67;54;43;43;43
1483;73;60;43;43;43
1534;79;66;43;43;43
1585;85;72;43;43;43
1636;92;78;43;43;43
1687;99;86;51;43;43
1738;108;95;60;43;43
1790;117;103;69;43;43
1841;125;112;77;43;43
1892;135;122;87;43;43
1943;145;132;97;54;43
1994;156;144;109;65;43
2045;169;155;121;77;43
2096;182;169;134;90;43
2147;195;182;147;103;51
2199;208;195;160;117;64
2250;221;208;173;129;77
2301;234;221;186;143;90
2352;247;234;199;155;103
2403;261;248;213;170;118
2454;275;262;228;184;132
2505;290;277;242;198;146
2556;305;292;257;214;162
2608;321;308;273;230;177
2659;337;324;289;245;193
2710;353;341;306;262;210
2761;370;357;323;279;227
2812;388;375;340;297;244
2863;396;393;358;314;262
2914;396;396;376;332;280
2965;396;396;394;351;299
3017;396;396;396;369;317
3068;396;396;396;387;335
3119;396;396;396;396;353
3170;396;396;396;396;372
3221;396;396;396;396;390
3272;396;396;396;396;396
3323;396;396;396;396;396
3375;396;396;396;396;396
