1023;23;23;23;23;23
1023;23;23;23;23;23
1074;24;23;23;23;23
1125;25;23;23;23;23
1176;26;23;23;23;23
1227;27;23;23;23;23
1278;29;23;23;23;23
1329;30;23;23;23;23
1380;32;26;23;23;23
1432;35;29;23;23;23
1483;39;32;23;23;23
1534;42;35;23;23;23
1585;45;38;23;23;23
1636;49;41;23;23;23
1687;53;46;27;23;23
1738;57;50;32;23;23
1790;62;55;36;23;23
1841;66;59;41;23;23
1892;72;64;46;23;23
1943;77;70;52;29;23
1994;83;76;58;35;23
2045;89;82;64;41;23
2096;96;89;71;48;23
2147;103;96;78;55;27
2199;110;103;85;62;34
2250;117;110;92;69;41
2301;124;117;99;76;48
2352;131;124;105;82;55
2403;138;131;113;90;62
2454;146;139;120;97;70
2505;153;147;128;105;78
2556;162;154;136;113;85
2608;170;163;145;122;94
2659;174;171;153;130;102
2710;174;174;162;139;111
2761;174;174;171;148;120
2812;174;174;174;157;129
2863;174;174;174;166;139
2914;174;174;174;174;148
2965;174;174;174;174;158
3017;174;174;174;174;168
3068;174;174;174;174;174
3119;174;174;174;174;174
3170;174;174;174;174;174
3221;174;174;174;174;174
3272;174;174;174;174;174
3323;174;174;174;174;174
3375;174;174;174;174;174
