1023;11;11;11;11;11
1023;12;11;11;11;11
1074;12;11;11;11;11
1125;12;11;11;11;11
1176;13;11;11;11;11
1227;13;11;11;11;11
1278;14;11;11;11;11
1329;15;12;11;11;11
1380;16;12;11;11;11
1432;17;14;11;11;11
1483;18;16;11;11;11
1534;21;17;11;11;11
1585;22;19;11;11;11
1636;24;20;11;11;11
1687;25;22;14;11;11
1738;28;25;16;11;11
1790;30;28;18;11;11
1841;32;29;21;11;11
1892;35;31;23;11;11
1943;37;35;25;14;11
1994;40;38;28;17;11
2045;44;41;32;21;11
2096;48;44;35;24;11
2147;51;48;38;28;14
2199;54;51;41;30;17
2250;57;54;45;34;21
2301;61;57;48;37;24
2352;64;61;52;41;28
2403;67;65;55;44;31
2454;71;68;58;47;34
2505;75;71;63;51;38
2556;77;76;67;56;42
2608;91;79;71;59;45
2659;105;94;75;64;50
2710;120;108;77;68;54
2761;135;123;93;72;59
2812;150;139;108;77;64
2863;166;154;123;85;68
2914;182;171;140;101;72
2965;191;186;156;117;77
3017;191;191;172;134;88
3068;191;191;188;150;104
3119;191;191;191;166;120
3170;191;191;191;182;136
3221;191;191;191;191;152
3272;191;191;191;191;168
3323;191;191;191;191;184
3375;191;191;191;191;191
